prev_title,curr_title,type,n,ts
Category:Machine_learning,SQL,link,465,2025-07-07T18:36:00
Data_engineering,Apache_Spark,link,32,2025-07-18T02:39:00
Python_(programming_language),SQL,link,360,2025-07-12T18:07:00
Python_(programming_language),Apache_Spark,link,141,2025-07-08T16:17:00
ELT,PySpark,link,475,2025-07-15T16:58:00
Main_Page,Data_warehouse,link,221,2025-07-04T04:27:00
Data_engineering,Broadcast_join,link,344,2025-07-14T18:28:00
Main_Page,Category:Big_data,link,5,2025-07-06T17:29:00
Category:Machine_learning,Lakehouse,external,336,2025-07-09T20:37:00
Search,Broadcast_join,link,412,2025-07-08T03:51:00
ETL,Feature_store,external,84,2025-07-02T18:34:00
Main_Page,RDD,link,374,2025-07-23T12:40:00
Data_engineering,Data_warehouse,link,200,2025-07-26T18:23:00
ETL,MapReduce,link,495,2025-07-07T17:09:00
Data_engineering,Dataframe,external,148,2025-07-02T16:55:00
Apache_Spark,Feature_store,other,436,2025-07-11T01:15:00
ELT,Dataframe,other,353,2025-07-09T00:46:00
ETL,Apache_Spark,link,55,2025-07-05T01:48:00
Python_(programming_language),PySpark,external,353,2025-07-02T12:47:00
ETL,RDD,link,182,2025-07-04T21:27:00
ETL,Dataframe,link,383,2025-07-12T21:46:00
Search,Partition_(databases),external,199,2025-07-13T17:33:00
Search,MapReduce,link,90,2025-07-06T06:18:00
Data_engineering,Dataframe,link,66,2025-07-22T07:01:00
Search,Broadcast_join,link,425,2025-07-05T03:02:00
ELT,SQL,link,291,2025-07-08T00:15:00
ETL,MapReduce,other,15,2025-07-11T21:33:00
Python_(programming_language),Broadcast_join,external,51,2025-07-04T08:33:00
Python_(programming_language),SQL,link,35,2025-07-07T10:02:00
ETL,Apache_Spark,link,63,2025-07-02T08:57:00
Python_(programming_language),Feature_store,link,315,2025-07-06T11:14:00
Python_(programming_language),MapReduce,link,223,2025-07-16T02:28:00
Python_(programming_language),RDD,other,92,2025-07-16T07:16:00
Search,Category:Big_data,link,172,2025-07-18T19:10:00
Category:Machine_learning,Lakehouse,link,205,2025-07-26T15:28:00
Data_engineering,Dataframe,other,493,2025-07-02T16:36:00
ELT,Dataframe,link,122,2025-07-09T02:50:00
Apache_Spark,Apache_Spark,external,474,2025-07-19T01:27:00
ELT,SQL,link,198,2025-07-25T19:48:00
Search,Category:Big_data,link,304,2025-07-23T12:21:00
ELT,RDD,external,133,2025-07-22T18:11:00
ELT,SQL,link,391,2025-07-18T12:00:00
Python_(programming_language),Partition_(databases),link,145,2025-07-21T13:42:00
Category:Machine_learning,Dataframe,link,443,2025-07-13T19:31:00
Python_(programming_language),Dataframe,external,396,2025-07-26T02:27:00
Python_(programming_language),Lakehouse,link,208,2025-07-27T22:16:00
Apache_Spark,Lakehouse,link,473,2025-07-16T10:34:00
Search,PySpark,external,27,2025-07-21T06:03:00
Python_(programming_language),Category:Big_data,other,167,2025-07-18T17:01:00
Data_engineering,Feature_store,link,340,2025-07-05T00:48:00
Data_engineering,Apache_Spark,external,101,2025-07-15T02:33:00
Main_Page,PySpark,link,231,2025-07-16T23:26:00
Search,Lakehouse,link,112,2025-07-23T04:40:00
Main_Page,RDD,external,29,2025-07-22T03:51:00
Search,Apache_Spark,link,224,2025-07-02T11:33:00
Search,Feature_store,link,235,2025-07-06T14:30:00
Python_(programming_language),Dataframe,external,35,2025-07-19T13:36:00
ELT,RDD,link,292,2025-07-01T09:07:00
Search,Lakehouse,external,252,2025-07-08T22:57:00
Apache_Spark,Broadcast_join,link,253,2025-07-18T13:22:00
ETL,RDD,other,21,2025-07-15T04:20:00
Python_(programming_language),Feature_store,link,415,2025-07-16T09:54:00
ELT,Partition_(databases),external,414,2025-07-16T15:53:00
Python_(programming_language),Apache_Spark,link,45,2025-07-22T23:08:00
Apache_Spark,Dataframe,link,399,2025-07-18T01:16:00
Main_Page,PySpark,link,232,2025-07-11T03:10:00
Search,MapReduce,other,170,2025-07-06T07:15:00
Data_engineering,SQL,link,22,2025-07-08T06:16:00
Apache_Spark,SQL,link,429,2025-07-18T13:47:00
Category:Machine_learning,RDD,link,345,2025-07-14T02:43:00
Search,Dataframe,link,231,2025-07-21T11:56:00
ELT,PySpark,link,377,2025-07-03T04:30:00
Main_Page,Lakehouse,link,37,2025-07-15T11:04:00
ETL,SQL,link,271,2025-07-05T12:27:00
Data_engineering,Apache_Spark,link,315,2025-07-26T08:22:00
ELT,PySpark,other,419,2025-07-07T03:33:00
Data_engineering,Category:Big_data,link,457,2025-07-11T19:17:00
Data_engineering,SQL,external,372,2025-07-05T06:08:00
Data_engineering,Category:Big_data,link,94,2025-07-17T18:29:00
ETL,PySpark,link,197,2025-07-25T23:10:00
Apache_Spark,Data_warehouse,link,488,2025-07-11T00:59:00
ETL,Lakehouse,link,284,2025-07-26T14:35:00
Apache_Spark,Data_warehouse,link,85,2025-07-26T02:25:00
Apache_Spark,Lakehouse,other,246,2025-07-08T19:36:00
Main_Page,Data_warehouse,external,292,2025-07-17T19:10:00
Python_(programming_language),RDD,link,165,2025-07-28T10:35:00
Main_Page,SQL,link,165,2025-07-25T21:31:00
Apache_Spark,Partition_(databases),other,426,2025-07-27T19:07:00
Category:Machine_learning,Lakehouse,link,491,2025-07-01T11:38:00
Search,Partition_(databases),link,284,2025-07-17T20:43:00
Apache_Spark,Data_warehouse,link,297,2025-07-04T13:39:00
Python_(programming_language),Feature_store,link,251,2025-07-21T17:26:00
ETL,Dataframe,other,232,2025-07-28T17:27:00
Apache_Spark,Partition_(databases),link,378,2025-07-03T22:49:00
Category:Machine_learning,RDD,link,326,2025-07-19T11:37:00
Category:Machine_learning,Apache_Spark,link,266,2025-07-16T17:14:00
Python_(programming_language),Dataframe,link,496,2025-07-26T10:33:00
Python_(programming_language),Feature_store,link,314,2025-07-23T08:04:00
ETL,Dataframe,link,419,2025-07-08T13:17:00
Search,Broadcast_join,external,442,2025-07-11T09:32:00
ELT,PySpark,external,220,2025-07-02T00:48:00
Main_Page,Dataframe,other,47,2025-07-18T01:20:00
Apache_Spark,Partition_(databases),link,341,2025-07-02T19:43:00
ETL,Dataframe,link,39,2025-07-09T11:54:00
ELT,Apache_Spark,link,354,2025-07-16T07:23:00
Search,PySpark,link,21,2025-07-16T05:42:00
ELT,Partition_(databases),link,27,2025-07-18T07:00:00
ELT,MapReduce,link,421,2025-07-25T03:29:00
Search,Apache_Spark,link,177,2025-07-11T10:59:00
ELT,PySpark,link,362,2025-07-02T10:43:00
Apache_Spark,Category:Big_data,link,196,2025-07-25T22:20:00
ELT,RDD,link,247,2025-07-16T07:01:00
ETL,Feature_store,link,81,2025-07-02T21:16:00
ELT,Feature_store,link,21,2025-07-08T10:10:00
Python_(programming_language),Feature_store,link,99,2025-07-19T02:22:00
ELT,Broadcast_join,link,498,2025-07-10T05:37:00
Apache_Spark,MapReduce,link,480,2025-07-13T20:06:00
Data_engineering,SQL,external,74,2025-07-13T20:04:00
ELT,MapReduce,link,371,2025-07-22T16:12:00
ETL,Broadcast_join,link,312,2025-07-27T04:35:00
Python_(programming_language),Dataframe,link,6,2025-07-15T10:40:00
ELT,Dataframe,external,150,2025-07-27T20:40:00
