prev_title,curr_title,type,n,ts
Category:Machine_learning,Partition_(databases),link,474,2025-05-07T10:56:00
Python_(programming_language),MapReduce,link,150,2025-05-18T14:56:00
Python_(programming_language),Feature_store,link,56,2025-05-15T21:15:00
Apache_Spark,Broadcast_join,link,170,2025-05-23T20:07:00
ELT,Lakehouse,link,50,2025-05-12T06:36:00
ELT,Feature_store,link,398,2025-05-07T02:09:00
Python_(programming_language),SQL,link,120,2025-05-17T12:03:00
Python_(programming_language),MapReduce,link,258,2025-05-01T17:57:00
ELT,Apache_Spark,link,62,2025-05-26T15:47:00
ETL,Apache_Spark,external,67,2025-05-13T01:34:00
Python_(programming_language),RDD,link,495,2025-05-06T17:16:00
ELT,PySpark,link,370,2025-05-26T05:17:00
Data_engineering,MapReduce,external,224,2025-05-03T19:56:00
Apache_Spark,Dataframe,link,342,2025-05-01T06:00:00
ELT,Data_warehouse,link,143,2025-05-11T02:30:00
Category:Machine_learning,Apache_Spark,link,452,2025-05-21T10:49:00
ELT,Broadcast_join,link,191,2025-05-18T02:54:00
Category:Machine_learning,RDD,link,489,2025-05-01T00:47:00
Data_engineering,Category:Big_data,link,59,2025-05-17T14:15:00
Python_(programming_language),Partition_(databases),link,27,2025-05-03T15:51:00
Data_engineering,Apache_Spark,link,203,2025-05-25T06:04:00
Search,MapReduce,link,110,2025-05-18T03:17:00
Python_(programming_language),Apache_Spark,link,492,2025-05-09T13:54:00
Data_engineering,Lakehouse,link,434,2025-05-27T13:28:00
Apache_Spark,Data_warehouse,link,416,2025-05-17T20:01:00
Data_engineering,Broadcast_join,link,259,2025-05-01T04:30:00
Category:Machine_learning,Apache_Spark,link,494,2025-05-11T13:21:00
Search,MapReduce,link,46,2025-05-20T17:24:00
ELT,Data_warehouse,link,139,2025-05-01T06:08:00
Data_engineering,Apache_Spark,link,137,2025-05-11T07:46:00
Category:Machine_learning,Broadcast_join,link,152,2025-05-15T05:08:00
Main_Page,Broadcast_join,link,405,2025-05-25T07:02:00
Main_Page,Broadcast_join,link,178,2025-05-10T16:40:00
ELT,RDD,link,97,2025-05-23T11:26:00
Category:Machine_learning,Broadcast_join,other,369,2025-05-03T05:53:00
Category:Machine_learning,Category:Big_data,link,494,2025-05-25T15:47:00
Main_Page,Partition_(databases),link,321,2025-05-19T16:54:00
Apache_Spark,PySpark,link,494,2025-05-19T00:08:00
Data_engineering,MapReduce,link,358,2025-05-17T15:05:00
ELT,Apache_Spark,link,344,2025-05-06T00:52:00
Python_(programming_language),Partition_(databases),link,134,2025-05-21T04:01:00
Apache_Spark,Lakehouse,external,484,2025-05-02T20:50:00
Python_(programming_language),Lakehouse,link,346,2025-05-08T23:47:00
Data_engineering,Dataframe,external,147,2025-05-27T09:33:00
ELT,Dataframe,other,208,2025-05-02T15:14:00
Apache_Spark,Apache_Spark,link,488,2025-05-03T00:10:00
Python_(programming_language),RDD,link,363,2025-05-01T00:31:00
Search,Data_warehouse,external,393,2025-05-03T10:27:00
ELT,Data_warehouse,link,222,2025-05-26T17:20:00
Data_engineering,Dataframe,link,180,2025-05-14T13:53:00
ETL,MapReduce,link,388,2025-05-16T21:30:00
ETL,PySpark,link,243,2025-05-20T21:31:00
Category:Machine_learning,Feature_store,link,282,2025-05-04T00:02:00
Python_(programming_language),Dataframe,link,420,2025-05-22T23:31:00
Apache_Spark,PySpark,link,442,2025-05-02T06:59:00
ELT,MapReduce,link,48,2025-05-28T23:06:00
Category:Machine_learning,Dataframe,link,16,2025-05-22T12:59:00
Apache_Spark,Category:Big_data,link,201,2025-05-23T08:27:00
Apache_Spark,Feature_store,external,236,2025-05-21T18:01:00
Category:Machine_learning,PySpark,other,60,2025-05-15T17:27:00
Python_(programming_language),MapReduce,link,440,2025-05-16T13:13:00
Main_Page,Feature_store,link,324,2025-05-27T02:52:00
ETL,Partition_(databases),link,24,2025-05-19T09:01:00
Apache_Spark,MapReduce,link,144,2025-05-10T02:05:00
Python_(programming_language),Lakehouse,link,189,2025-05-25T05:46:00
Apache_Spark,RDD,link,289,2025-05-03T16:49:00
Apache_Spark,SQL,link,279,2025-05-14T06:28:00
Main_Page,RDD,link,465,2025-05-01T10:12:00
Search,RDD,link,59,2025-05-06T00:39:00
Data_engineering,Broadcast_join,link,126,2025-05-26T05:19:00
Data_engineering,Dataframe,external,29,2025-05-08T21:49:00
Main_Page,Lakehouse,external,255,2025-05-03T14:36:00
Apache_Spark,PySpark,link,263,2025-05-06T05:23:00
Search,Broadcast_join,link,386,2025-05-11T04:09:00
